Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,State,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Sales,Profit
ORD-10004,2021-06-18,2021-06-23,Standard Class,CUST-9928,Consumer,South,Texas,Office Supplies,Stationery,Notebook,6.47,1,0.0,6.47,1.7
ORD-10005,2021-12-09,2021-12-13,Second Class,CUST-5333,Corporate,East,Connecticut,Office Supplies,Stationery,Binder,6.78,1,0.15,5.76,1.7
ORD-10006,2022-03-28,2022-03-30,First Class,CUST-4814,Corporate,South,Florida,Office Supplies,Paper,A4 Paper Ream,7.52,1,0.1,6.77,2.23
ORD-10009,2024-09-23,2024-09-30,Standard Class,CUST-7216,Consumer,West,Idaho,Furniture,Desks,Corner Desk,834.98,2,0.05,1586.46,115.25
ORD-10011,2021-12-09,2021-12-13,First Class,CUST-8517,Home Office,Central,Wisconsin,Office Supplies,Stationery,Notebook,35.43,1,0.25,26.57,5.33
ORD-10013,2022-12-13,2022-12-18,Standard Class,CUST-3504,Corporate,East,Massachusetts,Office Supplies,Binders,Document Wallet,19.8,1,0.0,19.8,6.38
ORD-10014,2024-01-18,2024-01-25,Standard Class,CUST-6573,Corporate,South,Alabama,Furniture,Desks,Foldable Desk,314.55,4,0.1,1132.38,177.81
ORD-10019,2024-05-04,2024-05-09,Second Class,CUST-9837,Home Office,East,New Jersey,Furniture,Storage,Drawer Unit,197.38,1,0.15,167.77,25.51
ORD-10021,2021-11-08,2021-11-10,First Class,CUST-9727,Home Office,Central,Kansas,Furniture,Office Chairs,Mesh Chair,214.24,2,0.0,428.48,84.28
ORD-10025,2024-10-18,2024-10-23,Second Class,CUST-9479,Corporate,East,Ohio,Office Supplies,Stationery,Sticky Notes,14.53,6,0.15,74.1,16.29
ORD-10029,2024-01-03,2024-01-08,Standard Class,CUST-5562,Corporate,East,Massachusetts,Technology,Electronics,SSD Drive,1637.32,4,0.0,6549.28,1324.69
ORD-10030,2021-09-07,2021-09-11,Second Class,CUST-2612,Consumer,East,New Jersey,Office Supplies,Binders,Clear Sleeve,17.13,2,0.0,34.26,9.75
ORD-10031,2021-07-14,2021-07-19,Standard Class,CUST-9856,Consumer,West,Colorado,Office Supplies,Stationery,Notebook,19.4,4,0.3,54.32,7.83
ORD-10033,2022-12-06,2022-12-12,Standard Class,CUST-8973,Consumer,Central,Wisconsin,Technology,Phones,Bluetooth Earbuds,1114.03,3,0.1,3007.88,536.3
ORD-10038,2023-12-19,2023-12-26,Standard Class,CUST-2122,Consumer,East,Massachusetts,Office Supplies,Binders,Clear Sleeve,8.88,5,0.0,44.4,14.22
ORD-10040,2023-08-14,2023-08-20,Standard Class,CUST-7484,Corporate,East,Massachusetts,Furniture,Storage,Filing Cabinet,329.76,1,0.15,280.3,22.25
ORD-10044,2023-07-03,2023-07-03,Same Day,CUST-3584,Consumer,South,Louisiana,Furniture,Office Chairs,Ergonomic Chair,849.94,4,0.05,3229.77,332.0
ORD-10049,2021-11-22,2021-11-25,First Class,CUST-5616,Consumer,Central,Indiana,Furniture,Storage,Display Rack,75.78,1,0.3,53.05,3.31
ORD-10054,2023-11-03,2023-11-08,Standard Class,CUST-8239,Consumer,East,Virginia,Technology,Accessories,Screen Protector,10.39,3,0.1,28.05,3.89
ORD-10056,2021-02-18,2021-02-21,First Class,CUST-4441,Corporate,South,Texas,Technology,Accessories,Power Bank,50.11,5,0.0,250.55,66.1
ORD-10058,2021-11-28,2021-11-30,First Class,CUST-7745,Corporate,South,Tennessee,Office Supplies,Paper,Poster Paper,53.48,1,0.15,45.46,12.89
ORD-10061,2022-11-12,2022-11-14,First Class,CUST-2137,Consumer,East,Pennsylvania,Furniture,Office Chairs,Stool,317.19,2,0.2,507.5,45.33
ORD-10062,2023-12-06,2023-12-11,Standard Class,CUST-9379,Home Office,West,Utah,Office Supplies,Binders,Document Wallet,7.36,1,0.15,6.26,1.37
ORD-10065,2024-10-22,2024-10-26,First Class,CUST-3041,Consumer,West,Nevada,Technology,Accessories,Laptop Stand,31.67,1,0.15,26.92,5.47
ORD-10069,2023-12-13,2023-12-20,Standard Class,CUST-4443,Corporate,West,Utah,Technology,Accessories,Screen Protector,72.6,1,0.0,72.6,12.24
ORD-10071,2023-04-06,2023-04-11,Second Class,CUST-4680,Consumer,South,Tennessee,Furniture,Desks,Corner Desk,832.94,1,0.05,791.29,116.44
ORD-10075,2023-10-21,2023-10-27,Standard Class,CUST-2746,Home Office,East,New York,Technology,Phones,Phone Case,608.42,1,0.0,608.42,159.91
ORD-10079,2023-08-26,2023-09-02,Standard Class,CUST-9270,Home Office,East,Michigan,Furniture,Storage,Filing Cabinet,224.59,5,0.25,842.21,104.57
ORD-10082,2024-08-09,2024-08-14,Second Class,CUST-6502,Consumer,Central,Iowa,Office Supplies,Binders,Presentation Folder,11.42,1,0.1,10.28,1.92
ORD-10087,2022-08-14,2022-08-18,Second Class,CUST-1320,Corporate,Central,Minnesota,Technology,Electronics,Webcam,187.1,3,0.2,449.04,107.0
ORD-10091,2024-08-18,2024-08-20,Same Day,CUST-1475,Home Office,West,California,Office Supplies,Paper,Envelope Pack,54.38,2,0.1,97.88,22.05
ORD-10094,2023-01-19,2023-01-26,Standard Class,CUST-7211,Home Office,West,Utah,Office Supplies,Paper,Cardstock,28.57,4,0.0,114.28,18.29
ORD-10095,2021-01-27,2021-01-31,First Class,CUST-1659,Corporate,East,Virginia,Technology,Phones,Feature Phone,90.94,5,0.05,431.96,94.35
ORD-10098,2024-07-19,2024-07-25,Standard Class,CUST-3683,Consumer,Central,Wisconsin,Office Supplies,Binders,Lever Arch File,27.77,1,0.0,27.77,8.49
ORD-10101,2023-09-19,2023-09-22,Second Class,CUST-1672,Consumer,East,New York,Office Supplies,Binders,Presentation Folder,25.61,1,0.0,25.61,7.92
ORD-10106,2022-05-04,2022-05-10,Standard Class,CUST-5425,Consumer,West,Colorado,Technology,Accessories,Screen Protector,87.8,1,0.3,61.46,14.34
ORD-10108,2024-04-09,2024-04-12,First Class,CUST-6325,Consumer,Central,Iowa,Furniture,Storage,Display Rack,216.65,2,0.15,368.31,18.5
ORD-10112,2021-12-18,2021-12-21,Second Class,CUST-8800,Home Office,West,Colorado,Office Supplies,Paper,Labels Sheet,18.27,1,0.3,12.79,3.28
ORD-10115,2023-08-12,2023-08-18,Standard Class,CUST-5438,Corporate,West,California,Technology,Electronics,Webcam,1794.21,2,0.15,3050.16,655.85
ORD-10117,2021-10-06,2021-10-07,Same Day,CUST-2647,Corporate,East,Pennsylvania,Office Supplies,Paper,A4 Paper Ream,44.85,5,0.3,156.97,35.94
ORD-10121,2022-12-18,2022-12-25,Standard Class,CUST-8690,Consumer,East,Virginia,Technology,Electronics,Smart Speaker,1573.75,2,0.0,3147.5,666.8
ORD-10122,2023-10-03,2023-10-08,Standard Class,CUST-5066,Consumer,West,Oregon,Office Supplies,Paper,Envelope Pack,13.21,2,0.1,23.78,3.77
ORD-10124,2024-12-10,2024-12-16,Standard Class,CUST-4404,Corporate,West,Utah,Furniture,Storage,Filing Cabinet,216.28,1,0.0,216.28,41.56
